player,gameweek,away_team,home_team,results_home_goals,results_away_goals,predictions_home_goals,predictions_away_goals
paul merson,33,tottenham,stoke,1,2,1,3
paul merson,33,burnley,watford,1,2,1,1
paul merson,33,swansea,west brom,1,1,1,2
paul merson,34,leicester,burnley,2,1,2,1
paul merson,34,brighton,crystal palace,3,2,2,0
paul merson,34,watford,huddersfield,1,0,1,0
paul merson,34,bournemouth,liverpool,3,0,3,1
paul merson,34,west brom,man utd,0,1,5,0
paul merson,34,arsenal,newcastle,2,1,2,2
paul merson,34,chelsea,southampton,2,3,1,3
paul merson,34,everton,swansea,1,1,1,0
paul merson,34,man city,tottenham,1,3,3,1
paul merson,34,stoke,west ham,1,1,2,1
paul merson,35,man utd,bournemouth,0,2,1,2
paul merson,35,west ham,arsenal,4,1,2,0
paul merson,35,tottenham,brighton,1,1,1,3
paul merson,35,newcastle,everton,1,0,1,2
paul merson,35,southampton,leicester,0,0,2,1
paul merson,35,swansea,man city,5,0,3,0
paul merson,35,burnley,stoke,1,1,2,1
paul merson,35,crystal palace,watford,0,0,1,2
paul merson,35,liverpool,west brom,2,2,1,2
paul merson,36,brighton,burnley,0,0,2,1
paul merson,36,leicester,crystal palace,5,0,2,1
paul merson,36,everton,huddersfield,0,2,0,1
paul merson,36,stoke,liverpool,0,0,2,1
paul merson,36,arsenal,man utd,2,1,3,0
paul merson,36,west brom,newcastle,0,1,2,0
paul merson,36,bournemouth,southampton,2,1,2,1
paul merson,36,chelsea,swansea,0,1,1,1
paul merson,36,watford,tottenham,2,0,4,0
paul merson,36,man city,west ham,1,4,0,4
mark lawrenson,1,leicester,arsenal,4,3,2,1
mark lawrenson,1,man city,brighton,0,2,0,2
mark lawrenson,1,burnley,chelsea,2,3,2,0
mark lawrenson,1,huddersfield,crystal palace,0,3,1,1
mark lawrenson,1,stoke,everton,1,0,2,0
mark lawrenson,1,west ham,man utd,4,0,2,0
mark lawrenson,1,tottenham,newcastle,0,2,0,2
mark lawrenson,1,swansea,southampton,0,0,2,1
mark lawrenson,1,liverpool,watford,3,3,1,1
